Response Date,SMS tNPS,Reason for score,Tech ID
7/7/2026 18:15,6,the tech made my tv worse than it was and an actual oerson who can fix the problem should of been sent out in first place not an authorized contractor who i couldn\u2019t understand what he was saying. he never came back to tell me how the situation was going to be resolved as the problem is at the street. i should be getting credit for each day i can\u2019t watch shows on tv. he literally made the pixels worse,I06I
7/7/2026 14:45,10,,I06I
7/7/2026 13:05,10,professional service person,7026
7/7/2026 9:05,10,friendly and knowledgeable,7077
7/7/2026 9:05,10,1,I06I
7/6/2026 13:50,10,,7080
7/6/2026 13:40,10,1,I0E3
7/6/2026 13:15,10,,I0E3
7/6/2026 13:10,10,1,ID70
7/6/2026 12:15,10,"because i asked to be put on the wait list and the tech arrived a day early, which was amazing since i had no internet since yesterday morning. he was super nice and was done quickly, and my internet was back up within 30 minutes!",I08X
7/6/2026 10:05,10,1,7077
7/6/2026 9:10,10,"arrived on time, installed 3 new boxes,brought motum up to date..very efficient and polite..fast worker..",7080
7/6/2026 9:10,10,he was a complete gentleman very polite with a lot of knowledge comcast should be proud of him,I0E3
7/5/2026 17:35,10,,I0E7
7/5/2026 17:05,10,"mark was on time, knowledgeable,  and professional! he patiently answered and explained all my questions! thank you \uD83D\uDE0A",7006
7/4/2026 6:30,10,"yes, i would recommend",I06I
7/3/2026 19:15,10,,I06I
7/3/2026 17:40,9,,IK01
7/3/2026 14:10,10,keith was excellent.  he went above and beyond making sure both my tvs are working perfectly.  if i could i'd give him a 20.,I08X
7/3/2026 14:05,0,"your team of workers came to our community this past monday n tuesday morning for \u201C updating our equipment \u201C we all had pixelating on our tv\u2019s since then, service people were here this morning n they couldn\u2019t do anything to resolve the problem, they have to call a new team, that\u2019s the last we heard. i pay a lot of $ for your services n can\u2019t watch the regular news on any basic stations.",I08X
7/3/2026 13:40,10,,I06I
7/3/2026 12:30,10,technician was extremely knowledgeable and professional,I08X
7/3/2026 12:10,10,the service technician was polite and informative. he knew what he was doing and got the job done quickly and efficiently.,IK01
7/3/2026 9:40,9,,7026
7/3/2026 9:25,10,the tech was on time and very knowledgeable. it was a pleasure.,I0E7
7/3/2026 8:10,8,,7026
7/3/2026 8:05,10,,7077
7/2/2026 15:15,10,,IK01
7/2/2026 14:15,10,the tech was quite knowledgeable and very pleasant.  although you do need help on your telephone service.  i had someone who had me on the phone for forty five minutes and all he was doing was talking in circles.  quite frustrating.,I08X
7/2/2026 14:05,10,,7026
7/2/2026 13:20,10,helpful technician.,I06I
7/2/2026 10:20,9,9 was the rating was giving for the technician that installed my comcast equipment.,IK01
7/2/2026 8:15,10,,I0E3
7/1/2026 18:15,10,,I06I
7/1/2026 17:05,10,,7034
7/1/2026 17:00,10,went above what he showed i needed and got me what i wanted,7026
7/1/2026 15:10,10,he was quick and knowledgeable,7122
7/1/2026 14:40,10,1,7080
7/1/2026 13:20,10,,I06I
6/30/2026 18:55,10,,7034
6/29/2026 17:05,10,robert was the nicest tech i have ever had . he was courteous and very efficient.  he stayed until  he got the problem resolved,7034
6/29/2026 15:05,10,1,7077
6/29/2026 14:10,10,the guy who can was fantastic.  he knew exactly how to proceed and had everything working very quickly.,7006
6/29/2026 10:10,10,the technician that came today to repair the cables outside did excellent work,I08X
6/28/2026 12:06,9,"very precise, on time, went right to the issue of our appointment.",I0E7
6/28/2026 11:20,10,,I06I
6/28/2026 9:05,10,the technician was very knowledgeable and professional. he explained everything he was doing.,7080
6/27/2026 16:25,10,,I08X
6/27/2026 15:05,9,,IK01
6/27/2026 14:10,10,,I03V
6/27/2026 11:40,10,1,7102
6/27/2026 11:05,10,explained things well. very courteous and patient,7006
6/27/2026 11:05,10,1,7122
6/26/2026 17:45,10,the technician today was extremely patient and helpful,IK01
6/26/2026 16:10,10,,I06I
6/26/2026 15:05,10,i was very happy with the technician alex who came and took care of the problem. he was very polite and informative.,7122
6/26/2026 14:05,10,very professional and answered all my questions,7077
6/26/2026 13:35,10,,ID70
6/26/2026 12:15,10,,I08X
6/26/2026 11:05,10,the technician was professional and quick,IK01
6/26/2026 10:05,10,1,7077
6/26/2026 8:05,10,,I06I
6/25/2026 16:45,10,"the technician was professional, knowledgeable and explained everything",7026
6/25/2026 16:25,0,outside install poorly done. wires not properly secured.,I0E3
6/25/2026 16:05,9,1,I08X
6/25/2026 14:05,10,1,I08X
6/25/2026 13:05,10,technician was very knowledgeable and fixed our problem,7077
6/25/2026 12:20,10,1,7122
6/25/2026 11:00,10,service was quick and easy,IK01
6/25/2026 10:30,10,"max was amazing he helped me more with advice & guidance than going to the store did.  i went to the manahawkin store and asked how to lower my $300 monthly bill.  my income is $1200 a month! so imagine the size of this bill for me.  i am paying for a modem i do not have! it\u2019s got to be well over 7 years & i asked him to go over my bill and see what we can change or lower.  i can\u2019t remember his name but i can remember what he looks like.  i have never walked out of xfinity without someone helping me out.  i told him i didn\u2019t have wifi for 2.5 days and if he could credit me.  he said it would not be worth it for a $1.00. i told him i have to turn off my phone on & off when i come back home as it doesn\u2019t connect to my wifi.  he said \u201Cnot possible\u201D.  yet max tested it and sure enough i was right.  but back to max, he really went above & beyond & came all the way from manalapan nj.  i cannot say enough good things about max.  i also thank tanya as i called cust service in tears & she sent max.  she deserves praise too as she walked me through certain things that helped.  i was 3 hours trying to set this up.  thank you so much.  i have to go back to the store to discuss the modem i am still being charged for.",7006
6/25/2026 9:50,0,my internet just went out again. it\u2019s not fixed,7080
6/25/2026 8:05,10,1,I0E7
6/25/2026 6:20,10,1,I08X
6/24/2026 16:25,10,,7006
6/24/2026 16:05,10,1,ID70
6/24/2026 14:40,10,excellent technician,7034
6/24/2026 12:45,10,1,7006
6/24/2026 10:35,10,yes,7122
6/24/2026 9:05,8,1,I08X
6/24/2026 8:05,10,10 because he was kind and respectful y gave advance for my wi fi,7102
6/24/2026 7:45,8,"the green tower behind my house needs repair he told me\u0301. he said someone would be out in 2 hours to fix it that, my tv may freeze.  no one ever show up. the green tower is laying on it side instead  of up right.",I06I
6/23/2026 19:25,10,10,7006
6/23/2026 15:25,10,,I0E3
6/22/2026 16:05,10,,I08X
6/22/2026 15:05,10,,ID70
6/22/2026 9:00,10,in person technician knowledgeable and professional. telephonic repair and scheduling people would get a 0.,7034
6/22/2026 3:40,10,"10, this man was wonderful!! when he came i was in the middle of a migraine and i don\u2019t handle them well at all. this man got right down to work, i was so embarrassed but in bad shape. thank goodness my daughter came home and was able to talk to him. i don\u2019t even know the guys name but i thank him so much and today my internet is working. thank you",7034
